Rk,player_name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary_rank,salary_20-21,salary_21-22,signed_using,guaranteed_money,salary_above_average
1,Precious Achiuwa,PF,21,MIA,47,2,593,101,178,0.5670000000000001,0,0,0.31116155419222935,101,178,0.5670000000000001,0.5670000000000001,47,94,0.5,58,111,169,25,15,24,38,72,249,296,2582160,2711280,1st Round Pick,5293440,0
3,Steven Adams,C,27,NOP,45,45,1268,156,250,0.624,0,3,0.0,156,247,0.632,0.624,47,105,0.44799999999999995,176,227,403,89,41,30,67,93,359,39,27528090,17073171,1st Round Pick,62528090,1
4,Bam Adebayo,C,23,MIA,44,44,1480,317,564,0.562,2,8,0.25,315,556,0.5670000000000001,0.564,211,253,0.8340000000000001,105,316,421,235,38,52,118,97,847,200,5115492,28103550,1st Round Pick,168116082,0
5,LaMarcus Aldridge,C,35,TOT,24,21,629,127,276,0.46,29,78,0.37200000000000005,98,198,0.495,0.513,35,41,0.8540000000000001,18,94,112,45,11,24,23,42,318,59,19078340,0,,18200000,1
7,Nickeil Alexander-Walker,SG,22,NOP,41,10,851,158,378,0.418,65,187,0.348,93,191,0.48700000000000004,0.504,39,52,0.75,10,116,126,81,40,21,57,77,420,275,3113160,3261480,1st Round Pick,3113160,0
8,Grayson Allen,SG,25,MEM,34,22,824,112,265,0.423,74,180,0.41100000000000003,38,85,0.447,0.562,47,52,0.904,14,98,112,70,35,7,33,44,345,307,2545320,4054695,1st Round Pick,6600015,0
9,Jarrett Allen,C,22,TOT,44,26,1262,209,330,0.633,5,12,0.41700000000000004,204,318,0.642,0.6409999999999999,152,216,0.7040000000000001,134,302,436,74,20,74,65,70,575,241,3909902,0,1st Round Pick,3909902,0
10,Al-Farouq Aminu,PF,30,TOT,18,14,379,36,90,0.4,7,32,0.21899999999999997,29,58,0.5,0.439,16,19,0.8420000000000001,20,76,96,29,17,9,27,24,95,125,9720900,10183800,MLE,19904700,1
11,Kyle Anderson,PF,27,MEM,45,45,1215,204,432,0.47200000000000003,59,166,0.355,145,266,0.545,0.541,88,116,0.759,31,229,260,151,52,35,60,71,555,128,9505100,9937150,MLE,19442250,1
12,Giannis Antetokounmpo,PF,26,MIL,45,45,1529,468,829,0.565,51,169,0.302,417,660,0.632,0.595,307,447,0.687,80,432,512,277,51,60,169,129,1294,38,27528090,39344970,1st Round Pick,203793556,1
